單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句1(Sentence1),例句1中譯(Translation1),例句2(Sentence2),例句2中譯(Translation2)
lunch,午餐,Food,/lʌntʃ/,3,lunch,We usually have lunch at the school cafeteria.,我們通常在學校食堂吃午餐。,All students have lunch together in the classroom at noon.,中午所有學生都在教室裡一起吃午餐。
dinner,晚餐,Food,/ˈdɪn.ɚ/,3,din/ner,The family sits together to enjoy their dinner.,全家人坐在一起享受他們的晚餐。,Our family sits at the table and talks during dinner.,晚餐時我們全家人坐在桌子旁聊天。
drink,喝/飲料,Actions,/drɪŋk/,3,drink,You should drink a cup of warm water first.,你應該先喝一杯溫開水。,I always drink warm water after PE class.,體育課後我總是喝溫開水。
tea,茶,Food,/tiː/,3,tea,My grandmother likes to drink hot black tea.,我祖母喜歡喝熱紅茶。,My grandfather likes to drink hot tea in the afternoon.,我爺爺下午喜歡喝熱茶。
egg,蛋/雞蛋,Food,/eɡ/,3,egg,I eat a boiled egg every morning for breakfast.,我每天早上吃一個水煮蛋當早餐。,We eat a boiled egg every morning for protein.,我們每天早上吃一個水煮蛋來補充蛋白質。
bread,麵包,Food,/bred/,3,bread,The baker makes delicious fresh bread every morning.,麵包師每天早上做出美味的新鮮麵包。,She spreads sweet strawberry jam on the bread.,她在麵包上塗抹甜草莓醬。
pie,派/餡餅,Food,/paɪ/,3,pie,Grandma baked an apple pie for our family dinner.,阿嬤為我們的家庭晚餐烤了一個蘋果派。,My grandma is baking a hot apple pie in the kitchen.,我奶奶正在廚房裡烤熱騰騰的蘋果派。
eat,吃,Food,/iːt/,3,eat,Remember to wash your hands before you eat.,吃東西前記得先洗手。,Remember to eat some fresh fruit every day.,記得每天吃一些新鮮水果。
cook,廚師/烹調/煮,Actions,/kʊk/,3,cook,My father likes to cook spaghetti on weekends.,我爸爸週末喜歡煮義大利麵。,The school cook prepares healthy food for our lunch.,學校廚師為我們的午餐準備健康的食物。
soup,湯,Food,/suːp/,3,soup,The hot corn soup is perfect for cold winter days.,熱玉米濃湯在寒冷的冬日裡再適合不過了。,This hot pumpkin soup tastes wonderful on a cold day.,在冷天喝這碗熱南瓜湯感覺太棒了。
food,食物,Food,/fuːd/,3,food,Taiwan is famous for its delicious street food.,台灣以美味的街頭小吃聞名。,We should not waste any food during our school lunch.,我們在學校吃午餐時不應該浪費任何食物。
beef,牛肉,Food,/biːf/,3,beef,We ordered some beef noodles at the restaurant.,我們在餐廳點了一些牛肉麵。,My mother makes delicious beef curry for our dinner.,我媽媽為我們的晚餐做了美味的咖哩牛肉。
pork,豬肉,Food,/pɔːrk/,3,pork,Pork dumplings are very popular in this restaurant.,豬肉餃子在這家餐廳非常受歡迎。,Pork is the main ingredient in these fresh dumplings.,豬肉是這些新鮮水餃的主要內餡。
cake,蛋糕,Food,/keɪk/,3,cake,She blew out the candles on her birthday cake.,她吹熄了生日蛋糕上的蠟燭。,We baked a sweet apple cake for our mother's birthday.,我們為媽媽的生日烤了一個甜蘋果蛋糕。
Coke,可樂,Food,/koʊk/,3,Coke,Drinking too much sweet coke is bad for your teeth.,喝太多甜可樂對你的牙齒不好。,Drinking water is much healthier than drinking Coke.,喝水比喝可樂健康得多。
meal,餐/一餐,Food,/miːl/,3,meal,Breakfast is the most important meal of the day.,早餐是一天中最重要的一餐。,We sat together to enjoy a warm family meal.,我們坐在一起享用溫馨的家庭一餐。
juice,果汁,Food,/dʒuːs/,3,juice,Fresh orange juice is full of vitamins.,新鮮的柳橙汁富含維他命。,My parents bought some fresh grape juice at the store.,我父母在商店買了一些新鮮的葡萄汁。
candy,糖果,Food,/ˈkæn.di/,3,can/dy,Do not eat too much sweet candy before bed.,睡前不要吃太多甜的糖果。,The little child smiled when she got a sweet candy.,當小女孩得到一顆甜糖果時她笑了。
salad,沙拉,Food,/ˈsæl.əd/,3,sal/ad,She prepared a fresh vegetable salad for lunch.,她午餐準備了一份新鮮的蔬菜沙拉。,Eating fresh salad every day is good for our health.,每天吃新鮮沙拉對我們的健康有益。
pizza,披薩,Food,/ˈpiːt.sə/,3,piz/za,We ordered a large cheese pizza for the party.,我們為派對點了一個大起司披薩。,My classmates and I share a hot pizza on Friday.,星期五我和同學一起分享熱騰騰的披薩。
full,飽的/滿的,Adjectives,/fʊl/,3,full,I am full after eating three plates of rice.,吃了三盤飯後我已經飽了。,The schoolbus is full of happy students going home.,校車上坐滿了要回家的快樂學生。
dumpling,水餃/餃子,Food,/ˈdʌm.plɪŋ/,3,dumpling,My mom makes delicious pork dumplings on weekends.,我媽媽週末會包美味的豬肉水餃。,Eating hot dumplings on a cold day makes us warm.,在冷天吃熱水餃讓我們感到溫暖。
hungry,飢餓的/餓的,Adjectives,/ˈhʌŋ.ɡri/,3,hun/gry,"If you are hungry, you can eat these biscuits.",如果你餓了，你可以吃這些餅乾。,The hungry little puppy barked to ask for food.,飢餓的小狗汪汪叫著要食物。
taste,嚐起來/味道/品嚐,Actions,/teɪst/,3,taste,The soup tastes delicious but a little bit salty.,這湯喝起來很美味，但有一點鹹。,These red strawberries taste sweet and a bit sour.,這些紅草莓嚐起來很甜，帶有一點酸味。
thirsty,口渴的/渴的,Adjectives,/ˈθɝː.sti/,3,thirsty,"After playing soccer, the boys were very thirsty.",踢完足球後，男孩子們都非常口渴。,I always feel thirsty after running on the playground.,在操場跑步後我總是感到口渴。
yummy,美味的/好吃的,Adjectives,/ˈjʌm.i/,3,yum/my,The chocolate cake Grandma made was very yummy.,阿嬤做的巧克力蛋糕非常美味。,This hot noodle soup is really yummy and warm.,這碗熱麵湯真的很美味又溫暖。
pumpkin,南瓜,Food,/ˈpʌmp.kɪn/,3,pump/kin,We carved a funny face on the Halloween pumpkin.,我們在萬聖節南瓜上雕刻了一個有趣的臉。,My grandmother makes sweet pumpkin pie for dessert.,我祖母做甜南瓜派當甜點。
ice cream,冰淇淋,Food,/ˈaɪs.kriːm/,3,ice/cream,Children love to eat sweet vanilla ice cream in summer.,孩子們夏天喜歡吃甜香草冰淇淋。,Vanilla ice cream is my brother's favorite treat.,香草冰淇淋是我弟弟最喜歡的甜點。
sweet,甜的/溫柔的,Adjectives,/swiːt/,3,sweet,These ripe strawberries are very red and sweet.,這些熟透的草莓又紅又甜。,She made a sweet card to thank her kind teacher.,她做了一張貼心的卡片來感謝她親切的老師。
sandwich,三明治,Food,/ˈsæn.wɪtʃ/,3,sand/wich,I made a ham and cheese sandwich for my lunch.,我為我的午餐做了一個火腿起司三明治。,My mother packed a fresh sandwich in my lunchbox.,我媽媽在我的便當盒裡裝了一個新鮮三明治。
chocolate,巧克力,Food,/ˈtʃɑːk.lət/,3,choco/late,She bought a box of dark chocolate from Belgium.,她買了一盒比利時黑巧克力。,We share a chocolate bar after playing basketball.,打完籃球後我們一起分享一條巧克力棒。
hamburger,漢堡,Food,/ˈhæm.bɝː.ɡɚ/,3,ham/burg/er,He ordered a beef hamburger and some french fries.,他點了一個牛肉漢堡和一些薯條。,A giant hamburger with fresh lettuce tastes delicious.,夾著新鮮萵苣的巨無霸漢堡嚐起來很美味。
French,法國的/法語的/法國人,Food,/frentʃ/,3,French,We ordered some hot french fries at the fast-food shop.,我們在速食店點了一些熱薯條。,Our new classmate can speak both English and French.,我們的新同學會說英文和法文。
fries,薯條/炸薯條,Food,/fraɪz/,3,fries,The crispy fries taste great with tomato sauce.,脆脆的薯條搭配番茄醬味道很棒。,Hot potato fries are crispy and delicious to share.,熱騰騰的炸薯條香脆美味，適合一起分享。
name,名字/姓名,Forms,/neɪm/,3,name,Please write down your name and phone number here.,請在這裡寫下您的名字和電話號碼。,I wrote my name on the first page of the book.,我在書的第一頁寫下了我的名字。
Miss/Ms,小姐/女士,Forms,/mɪs/,3,Mis/s/Ms,Ms. Lin is our new school principal this year.,林女士是我們今年新來的學校校長。,Miss Lin is very patient when she teaches us math.,林老師教我們數學時非常耐心。
Mr,先生,Forms,/ˈmɪs.tɚ/,3,Mr,Mr. Brown teaches us math and is very funny.,布朗先生教我們數學而且非常幽默。,Mr. Wang helps us clean the school playground every Friday.,王先生每個星期五都幫我們清理學校操場。
Mrs,太太/女士(已婚),Forms,/ˈmɪs.ɪz/,3,Mrs,Mrs. Green gave us some sweet cookies yesterday.,格林太太昨天給了我們一些甜餅乾。,Mrs. Lee teaches science and always answers our questions.,李太太教自然科學，而且總是回答我們的問題。
sea,海洋/海,Geographical,/siː/,3,sea,We saw a big ship sailing on the blue sea.,我們看到一隻大船在藍色的大海上航行。,We can collect pretty shells on the beach near the sea.,我們可以在靠海的沙灘上收集美麗的貝殼。
lake,湖泊/湖,Geographical,/leɪk/,3,lake,The water in the lake is clear and calm.,湖水非常清澈而且平靜。,We rode a boat on the lake during our family trip.,在我們的家庭旅行中，我們在湖上划船。
beach,海灘/沙灘,Geographical,/biːtʃ/,3,beach,We built a tall sandcastle on the sandy beach.,我們在沙灘上建了一座高高的沙堡。,We built a big sandcastle on the beach in the afternoon.,下午我們在海灘上建了一座大沙堡。
river,河流/河,Geographical,/ˈrɪv.ɚ/,3,riv/er,Many fish are swimming in this clean mountain river.,許多魚在這條乾淨的山區河流中游泳。,The clean river flows slowly through our beautiful town.,乾淨的河流緩緩流過我們美麗的小鎮。
mountain,山/山脈,Geographical,/ˈmaʊn.tən/,3,moun/tain,They plan to climb the highest mountain in Taiwan.,他們計劃攀登台灣最高的山。,We went hiking on a high mountain last weekend.,上週末我們去了一座高山健行。
forest,森林,Geographical,/ˈfɔːr.ɪst/,3,for/est,There are many tall green trees in the forest.,森林裡有許多高大的綠樹。,Many wild animals make their homes in the deep forest.,許多野生動物在深山森林裡安家。
volcano,火山,Geographical,/vɑːlˈkeɪ.noʊ/,3,vol/cano,The volcano has not erupted for a thousand years.,這座火山已經一千年沒有噴發了。,We saw a picture of an active volcano in our science book.,我們在自然科學書裡看到了一張活火山的照片。
desert,沙漠/拋棄,Geographical,/ˈdez.ɚt/,3,desert,Camels can walk in the hot desert without water.,駱駝可以在炎熱的沙漠中行走而不需要水。,"It is dry and hot in the desert, but camels can live there.",沙漠裡又乾又熱，但是駱駝可以在那裡生存。
island,島嶼/島,Geographical,/ˈaɪ.lənd/,3,is/land,They spent their summer vacation on a tropical island.,他們在一個熱帶島嶼上度過了暑假。,Taiwan is a beautiful island surrounded by blue oceans.,台灣是一個被藍色海洋包圍的美麗島嶼。
Easter,復活節,Holidays,/ˈiː.stɚ/,3,East/er,Children love to search for colorful Easter eggs.,孩子們喜歡尋找色彩繽紛的復活節彩蛋。,Children search for colorful eggs during Easter.,孩子們在復活節期間尋找彩色的蛋。
Halloween,萬聖節/萬聖節前夕,Holidays,/ˌhæl.oʊˈiːn/,3,Hal/loween,We dressed up in scary clothes for Halloween.,我們在萬聖節穿上了可怕的衣服裝扮。,We dressed up as funny ghosts for Halloween last year.,去年萬聖節我們裝扮成搞笑的鬼魂。
Christmas,耶誕節/聖誕節,Holidays,/ˈkrɪs.məs/,3,Christ/mas,We decorated the big Christmas tree with sparkling lights.,我們用閃閃發光的燈飾裝飾了大聖誕樹。,We decorated the classroom tree for Christmas.,我們裝飾了教室裡的聖誕樹來迎接耶誕節。
Moon,月亮,Weather & nature,/muːn/,3,Moon,The moon shines brightly in the clear night sky.,月亮在晴朗的夜空中明亮地照耀著。,The moon is round and bright during the Mid-Autumn Festival.,中秋節期間的月亮又圓又亮。
Festival,節日/慶典,Holidays,/ˈfes.tə.vəl/,3,Fes/ti/val,The Mid-Autumn Festival is a time for family reunion.,中秋節是家人團圓的時刻。,The school sports festival is full of exciting games.,學校運動會/體育節充滿了精彩的比賽。
well,很好地/健康的/井,Health,/wel/,3,well,My grandmother feels well after resting in bed.,我奶奶在床上休息後感覺好多了。,My brother plays the piano very well because he practices.,我弟弟鋼琴彈得很好，因為他有練習。
sick,生病的/有病的,Health,/sɪk/,3,sick,He did not go to school because he was sick.,他因為生病而沒有去上學。,"If you feel sick, you should rest and drink warm water.",如果你感覺生病了，你應該休息並喝溫開水。
cold,冷的/感冒/寒冷的,Health,/koʊld/,3,cold,Drink hot soup when you have a bad cold.,當你感冒嚴重時，多喝熱湯。,Drinking hot tea makes us feel good when we have a cold.,感冒時喝熱茶會讓我們感覺舒服些。
strong,強壯的/強烈的,Health,/strɑːŋ/,3,strong,He is strong enough to lift the heavy box.,他足夠強壯以搬起這個重箱子。,A strong wind can bend the branches of tall trees.,強風會吹彎高樹的枝條。
tired,疲倦的/累的,Health,/taɪərd/,3,tired,I was tired after riding my bike for two hours.,騎了兩小時腳踏車後，我感到很累。,I felt tired after running around the playground.,在操場跑了幾圈後我感到累了。
toothache,牙痛,Health,/ˈtuːθ.eɪk/,3,toothache,The little girl cried because she had a toothache.,小女孩哭了，因為她牙痛。,Eating too much sweet candy might cause a toothache.,吃太多甜糖果可能會導致牙痛。
headache,頭痛,Health,/ˈhed.eɪk/,3,headache,My mother has a bad headache today.,我媽媽今天頭痛得很厲害。,Drinking cold water too quickly might give you a headache.,冰水喝太快可能會讓你頭痛。
key,鑰匙/關鍵,House,/kiː/,3,key,I cannot find the key to my bedroom door.,我找不到我臥室門的鑰匙。,He keeps the classroom key in his pencil case.,他把教室的鑰匙收在筆袋裡。
fan,風扇/電風扇/迷,House,/fæn/,3,fan,"Please turn on the fan, the classroom is hot.",請打開電風扇，教室很熱。,Please turn on the electric fan to cool down the room.,請打開電風扇讓房間涼快一下。
bed,床,House,/bed/,3,bed,"It is time to go to bed; goodnight, children.",該去睡覺了；晚安，孩子們。,I jumped onto my soft bed and felt very relaxed.,我跳上柔軟的床，感到非常放鬆。
house,房子/住宅,House,/haʊs/,3,house,They live in a beautiful house with a garden.,他們住在一棟帶花園的美麗房子裡。,My family lives in a cozy house near the school.,我們家住在學校附近的一間溫馨房子裡。
wall,牆壁/圍牆,House,/wɑːl/,3,wall,We hung a big map of Taiwan on the classroom wall.,我們在教室的牆上掛了一幅台灣大地圖。,We hung our class paintings on the classroom wall.,我們把我們班的畫掛在教室牆壁上。
mop,拖把/拖地,House,/mɑːp/,3,mop,Use the clean mop to clean the kitchen floor.,用乾淨的拖把來清潔廚房地板。,Please use a mop to clean the dirty floor.,請用拖把清理骯髒的地板。
door,門,House,/dɔːr/,3,door,Please close the door behind you when you leave.,你離開時請隨手關門。,Please close the door quietly when you leave.,你離開時請輕輕關上門。
lamp,燈/檯燈,House,/læmp/,3,lamp,He reads a book under the bright desk lamp.,他在明亮的檯燈下看書。,I turn on the desk lamp when I read at night.,我晚上讀書時會打開檯燈。
sweep,掃/打掃/掃除,Actions,/swiːp/,3,sweep,Please help me sweep the leaves on the ground.,請幫我掃地上的樹葉。,We sweep the classroom floor together after school.,放學後我們一起打掃教室地板。
wash,清洗/洗,Actions,/wɑːʃ/,3,wash,You should wash your hands before eating dinner.,你在吃晚餐前應該要洗手。,We wash our hands before eating lunch at school.,我們在學校吃午餐前會洗手。
home,家/在家,House,/hoʊm/,3,home,I will stay at home and watch TV tonight.,我今天晚上會待在家裡看電視。,Going home to eat dinner with family is very warm.,回家和家人一起吃晚餐是非常溫馨的。
table,桌子/餐桌,House,/ˈteɪ.bəl/,3,ta/ble,We put the vase of flowers on the wooden table.,我們把花瓶放在木桌上。,Please help set the dining table before dinner.,請在晚餐前幫忙擺餐桌。
towel,毛巾/手巾,House,/ˈtaʊ.əl/,3,tow/el,Dry your face with a clean and soft towel.,用乾淨又柔軟的毛巾擦乾你的臉。,Dry your wet face with a clean soft towel.,用乾淨柔軟的毛巾擦乾你那濕漉漉的臉。
floor,地板/樓層,House,/flɔːr/,3,floor,The clean floor is too slippery; walk carefully.,乾淨的地板太滑了，走路請小心。,Keep your books off the floor and on your desk.,把你的書從地板上拿起來放在書桌上。
shelf,書架/架子,House,/ʃelf/,3,shelf,I put my new books back onto the bookshelf.,我把我的新書放回書架上。,Please put the storybook back on the wooden shelf.,請把故事書放回木架/書架上。
garden,花園/園地,House,/ˈɡɑːr.dən/,3,gar/den,Grandpa grows sweet red strawberries in his garden.,爺爺在他的花園裡種植甜甜的紅草莓。,The school garden has many colorful flowers.,學校花園裡有許多色彩繽紛的花朵。
shower,陣雨/淋浴,House,/ˈʃaʊ.ɚ/,3,show/er,I take a warm shower after playing basketball.,我打完籃球後會洗個熱水澡。,A quick summer shower cooled down the hot streets.,一場短暫的夏日陣雨讓發熱的街道降溫了。
TV,電視/電視機,House,/ˌtiːˈviː/,5,TV,We watched an interesting science show on TV.,我們在電視上觀看了一個有趣的科學節目。,Our parents allow us to watch TV for thirty minutes.,我父母允許我們看三十分鐘的電視。
computer,電腦,House,/kəmˈpjuː.t̬ɚ/,3,com/put/er,We use the computer to look up English words.,我們使用電腦來查詢英文單字。,We learn how to type on the computer in class.,我們在課堂上學習如何在電腦上打字。
refrigerator,冰箱,House,/rɪˈfrɪdʒ.ə.reɪ.t̬ɚ/,3,re/frig/er/a/tor,Keep the fresh milk and cheese in the refrigerator.,把新鮮牛奶和起司保存在冰箱裡。,Put the fresh milk back in the refrigerator to keep it cool.,把鮮牛奶放回冰箱以保持冰涼。
clean,乾淨的/清潔/打掃,Adjectives,/kliːn/,3,clean,Please help me clean the dirty windows this afternoon.,今天下午請幫我清潔髒窗戶。,We must clean our study desks before we go home.,我們回家前必須打掃乾淨我們的書桌。
bedroom,臥室/臥房,House,/ˈbed.ruːm/,3,bed/room,My bedroom has a small desk and a warm bed.,我的臥室有一張小書桌和一張溫暖的床。,I sleep peacefully in my quiet bedroom.,我在安靜的臥室裡安穩地睡覺。
dining,用餐/進餐,House,/ˈdaɪ.nɪŋ/,3,din/ing,The family had dinner together in the dining room.,全家人在餐廳一起吃晚餐。,We gathered in the dining area to share the food.,我們在用餐區聚集分享食物。
room,房間/空間,House,/ruːm/,3,room,Our living room is very bright and cozy.,我們的客廳非常明亮而且溫馨。,My room has a soft bed and a tidy bookshelf.,我的房間有一張柔軟的床和整齊的書架。
buy,購買/買,Actions,/baɪ/,3,buy,I want to buy a new box of crayons.,我想買一盒新的蠟筆。,I want to buy a new pencil case at the shop.,我想在商店買一個新的筆袋。
free,免費的/自由的/空閒的,Money,/friː/,3,free,Children under six can enter the zoo for free.,六歲以下的孩子可以免費進入動物園。,You are free to join our English game club.,你可以自由加入我們的英文遊戲社團。
money,錢/貨幣,Money,/ˈmʌn.i/,3,mon/ey,She saved some money to buy a storybook.,她存了一些錢來買一本故事書。,Saving money helps us buy things we really need later.,存錢可以幫助我們在以後購買真正需要的東西。
dollar,元/美元,Money,/ˈdɑː.lɚ/,3,dol/lar,A cup of bubble tea costs fifty New Taiwan dollars.,一杯珍珠奶茶要五十元新台幣。,A cup of hot tea costs one dollar at the stand.,那攤位的一杯熱茶花費一元。
new,新的,Adjectives,/nuː/,3,new,He has a new blue schoolbag for the school year.,他新學年有一個新的藍色書包。,Welcome our new classmate with a warm hello.,用溫馨的問候歡迎我們的新同學。
number,數字/號碼,Numbers,/ˈnʌm.bɚ/,3,num/ber,Seven is my sister's favorite and lucky number.,七是我妹妹最喜歡且幸運的數字。,Please write the number of students in the blank.,請在空格內寫上學生的數量。
all,全部的/所有的/全部/所有,Numbers,/ɑːl/,3,all,The students in the classroom were all quiet.,教室裡的學生們全都非常安靜。,All students did a wonderful job on the test today.,今天所有學生在測驗中都表現得很好。
both,兩者都/雙方的,Numbers,/boʊθ/,3,both,Both of my brothers like to play basketball.,我的兩個哥哥都喜歡打籃球。,Both of my dogs love to play with the ball.,我的兩隻狗都很喜歡玩這顆球。
much,許多的/非常地(加不可數),Numbers,/mʌtʃ/,3,much,How much water should we drink every day?,我們每天應該喝多少水？,Thank you very much for your kind help.,非常感謝你親切的幫助。
many,許多的/很多的,Numbers,/ˈmen.i/,3,many,How many students are there in your class?,你們班上有多少位學生？,There are many tall trees in our school playground.,我們學校操場上有許多高樹。
more,更多的/較多的/更,Numbers,/mɔːr/,3,more,I want to read more books during the holiday.,我希望在假期期間讀更多的書。,Reading more books can help you learn new words.,多讀書可以幫助你學習新單字。
some,一些的/一些/某些,Numbers,/sʌm/,3,some,My mom prepared some fresh fruits for us.,我媽媽為我們準備了一些新鮮水果。,"Can you give me some paper to write on, please?",請給我一些紙寫字好嗎？
first,第一/首先/第一的,Numbers,/fɝːst/,3,first,He won the first prize in the English speaking contest.,他在英語演講比賽中贏得了一等獎。,Safety first is our number one rule when hiking.,健行時，安全第一是我們的首要規則。
second,第二/秒/第二的,Numbers,/ˈsek.ənd/,3,sec/ond,This is the second time I visit this beautiful museum.,這是我第二次造訪這座美麗的博物館。,February is the second month of the year.,二月是一年中的第二個月份。
third,第三/第三的,Numbers,/θɝːd/,3,third,Her classroom is on the third floor of the school.,她的教室在學校的三樓。,He got the third place in the running race.,他在跑步比賽中得到了第三名。
last,最後的/持續/上一個,Numbers,/læst/,3,last,December is the last month of the year.,十二月是一年中的最後一個月。,This is the last question of our daily challenge.,這是我們每日挑戰的最後一個問題。
job,工作/職務,Occupations,/dʒɑːb/,3,job,A teacher's job is to help students learn.,老師的工作是幫助學生學習。,Doing my school job well makes me feel proud.,做好我的學校工作讓我感到自豪。
work,工作/勞作,Occupations,/wɝːk/,3,work,Our parents work hard to take care of the family.,我們的父母努力工作以照顧家庭。,My parents go to work early in the morning.,我父母早上很早去工作。
worker,工人/工作者,Occupations,/ˈwɝː.kɚ/,3,work/er,The factory workers wear blue uniforms and helmets.,工廠工人穿著藍色制服戴安全帽。,The construction worker wears a orange helmet.,建築工人戴著橘色的安全帽。
actor,男演員/演員,Occupations,/ˈæk.tɚ/,3,ac/tor,He wants to be a famous movie actor when he grows up.,他長大後想成為一名著名的電影演員。,The actor played the hero in the movie.,那位男演員在電影裡扮演英雄。
actress,女演員,Occupations,/ˈæk.trəs/,3,ac/tress,The actress wore a beautiful red dress on stage.,這位女演員在舞台上穿著一件美麗的紅洋裝。,She wants to be a famous actress when she grows up.,她長大後想成為一名著名的女演員。
singer,歌手/歌唱家,Occupations,/ˈsɪŋ.ɚ/,3,singer,The young singer has a very beautiful voice.,這位年輕的歌手擁有非常美麗的嗓音。,The popular singer sang a beautiful song at the concert.,那位受歡迎的歌手在演唱會上唱了一首美麗的歌。
driver,司機/駕駛,Occupations,/ˈdraɪ.vɚ/,3,driv/er,The bus driver is very polite and always smiles.,這位公車司機非常禮貌而且總是微笑。,Our school bus driver is very safe and friendly.,我們校車司機開車非常安全且親切。
farmer,農夫/農民,Occupations,/ˈfɑːr.mɚ/,3,farmer,The farmer grows fresh vegetables and rice on his farm.,農夫在他的農場上種植新鮮蔬菜和稻米。,The farmer grows sweet fruit and fresh vegetables.,農夫種植甜美的水果和新鮮的蔬菜。
mailman,郵差/信差,Occupations,/ˈmeɪl.mæn/,3,mail/man,The mailman delivered a package to our house yesterday.,郵差昨天送了一個包裹到我們家。,The mailman delivered a letter to my grandmother today.,郵差今天送了一封信給我祖母。
waiter,男服務生/侍者,Occupations,/ˈweɪ.t̬ɚ/,3,wait/er,The waiter in the restaurant is very helpful.,這家餐廳的服務生非常熱心。,The friendly waiter brought us a glass of cold water.,友善的男服務生給我們倒了一杯冰水。
waitress,女服務生/女侍,Occupations,/ˈweɪ.trəs/,3,wait/ress,The waitress served us hot corn soup and bread.,女服務生為我們端來熱玉米濃湯和麵包。,The waitress is serving hot soup to the customers.,女服務生正在給顧客端上熱湯。
soldier,軍人/士兵,Occupations,/ˈsoʊl.dʒɚ/,3,sol/dier,The brave soldiers protect their country and people.,勇敢的士兵們保護他們的國家和人民。,The brave soldier protects our country from danger.,勇敢的軍人保護我們的國家免受危險。
police officer,警察/警官,Occupations,/pəˈliːs ˌɑː.fɪ.sɚ/,3,po/lice/of/fi/cer,The police officer helped the lost boy find his mother.,警察幫助迷路的小男孩找到了他的媽媽。,The police officer guided the children across the street.,警察引導孩子們過馬路。
hair,頭髮/毛髮,Body,/her/,3,hair,Her sister has long black hair and big eyes.,她姐姐有長長的黑髮和大眼睛。,My mother washes her long hair every evening.,我媽媽每天晚上洗她的長髮。
face,臉/面孔,Body,/feɪs/,3,face,Remember to wash your face every morning.,記得每天早上洗臉。,She has a big smile on her face when she draws.,她畫畫時臉上帶著燦爛的笑容。
nose,鼻子,Body,/noʊz/,3,nose,My nose is red because I have a cold.,因為感冒，我的鼻子紅紅的。,My dog has a black nose and a warm tail.,我的狗有著黑鼻子和溫暖的尾巴。
ear,耳朵,Body,/ɪr/,3,ear,We have two ears to listen to beautiful music.,我們有兩隻耳朵來聽美妙的音樂。,A rabbit has long ears to hear tiny sounds.,兔子長著長耳朵來聆聽微弱的聲音。
mouth,嘴巴/口,Body,/maʊθ/,3,mouth,Open your mouth and show me your white teeth.,張開你的嘴，讓我看看你白白的牙齒。,Please open your mouth and drink some warm water.,請張開嘴巴喝些溫開水。
tooth,牙齒(單數),Body,/tuːθ/,3,tooth,He lost a baby tooth and put it under his pillow.,他掉了一顆乳牙，把它放在枕頭底下。,I brush my teeth and wash my face before sleep.,我睡前刷牙洗臉。
leg,腿/下肢,Body,/leɡ/,3,leg,Flamingos stand on one leg when they sleep.,紅鶴睡覺時只用一隻腳站立。,A hippo has short legs but can walk fast in water.,河馬的腿很短，但牠在水裡能走得很快。
teeth,牙齒(複數),Body,/tiːθ/,3,teeth,You should brush your teeth at least twice a day.,你每天應該至少刷牙兩次。,We must brush our teeth twice a day.,我們每天必須刷牙兩次。
feet,腳(複數)/英尺,Body,/fiːt/,3,feet,He washed his dirty feet after playing in the mud.,他在泥巴裡玩耍後洗了乾淨髒腳。,Wipe your wet feet on the rug before entering.,進門前先在毯子上擦乾你的濕腳。
back,背部/後面/返回,Body,/bæk/,3,back,Please write your name on the back of the paper.,請在紙的背面寫下你的名字。,We carry our heavy bags on our backs to school.,我們背著重重的書包上學。
person,人(單數),People,/ˈpɝː.sən/,3,per/son,Each person in our class must prepare a short story.,我們班上的每個人都必須準備一個短篇故事。,Benson is a very kind and friendly person.,班森是一個非常親切且友善的人。
people,人們/人(複數),People,/ˈpiː.pəl/,3,peo/ple,Many people go to the park to practice Tai Chi.,許多人去公園練習太極拳。,Many people in the park are flying colorful kites.,公園裡的許多人正在放彩色的風箏。
baby,嬰兒/寶貝,People,/ˈbeɪ.bi/,3,ba/by,The sweet baby fell asleep in her mother's arms.,可愛的嬰兒在媽媽的懷抱裡睡著了。,The baby puppy is sleeping quietly in the basket.,幼犬寶寶在籃子裡安靜地睡覺。
kid,小孩/開玩笑,People,/kɪd/,3,kid,The kids are playing hide-and-seek under the tree.,孩子們正樹底下玩捉迷藏。,Every kid loves to play games on the playground.,每個小孩都喜歡在操場上玩遊戲。
boy,男孩,People,/bɔɪ/,3,boy,The boy over there is my brother's classmate.,那邊那個男孩是我哥哥的同學。,The active boy jumped high to catch the basketball.,那個活潑的男孩跳得很高去接籃球。
girl,女孩,People,/ɡɝːl/,3,girl,The young girl wore a pink hat to school.,這個年輕的女孩戴著粉紅色的帽子去上學。,She is a smart girl who always does her homework.,她是一個總是寫作業的聰明女孩。
woman,女人/婦女(單數),People,/ˈwʊm.ən/,3,wom/an,A kind woman helped me find the train station.,一位好心的女士幫我找到了火車站。,The woman standing next to the door is our teacher.,站在門旁邊的那位女士/婦女是我們的老師。
women,女人/婦女(複數),People,/ˈwɪm.ɪn/,3,wom/en,The two women are talking near the flower shop.,這兩位女士正在花店附近說話。,Three women walked into the library together.,三位女士/婦女一起走進了圖書館。
bad,壞的/不好的/嚴重的,Personal,/bæd/,3,bad,Eating too much candy is bad for your teeth.,吃太多糖果對你的牙齒不好。,Eating too much salt is bad for your health.,吃太多鹽對你的健康不好。
good,好的/優秀的,Personal,/ɡʊd/,3,good,It is a good habit to wash hands before meals.,飯前洗手是個好習慣。,Reading is a good habit that helps us learn.,讀書是一個能幫助我們學習的好習慣。
