單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句(Sentence),例句中譯(Translation)
feet,腳(複數),Body,,3,feet,He washed his dirty feet after playing in the mud.,他在泥巴裡玩耍後洗了乾淨髒腳。
back,背,Body,,3,back,Please write your name on the back of the paper.,請在紙的背面寫下你的名字。
person,人(單數),People,,3,per/son,Each person in our class must prepare a short story.,我們班上的每個人都必須準備一個短篇故事。
people,人(複數),People,,3,peo/ple,Many people go to the park to practice Tai Chi.,許多人去公園練習太極拳。
baby,嬰兒,People,,3,ba/by,The sweet baby fell asleep in her mother's arms.,可愛的嬰兒在媽媽的懷抱裡睡著了。
kid,小孩,People,,3,kid,The kids are playing hide-and-seek under the tree.,孩子們正樹底下玩捉迷藏。
boy,男孩,People,,3,boy,The boy over there is my brother's classmate.,那邊那個男孩是我哥哥的同學。
girl,女孩,People,,3,girl,The young girl wore a pink hat to school.,這個年輕的女孩戴著粉紅色的帽子去上學。
woman,女人,People,,3,wom/an,A kind woman helped me find the train station.,一位好心的女士幫我找到了火車站。
women,女人(複數),People,,3,wom/en,The two women are talking near the flower shop.,這兩位女士正在花店附近說話。
bad,不好的,Personal,,3,bad,Eating too much candy is bad for your teeth.,吃太多糖果對你的牙齒不好。
good,好的,Personal,,3,good,It is a good habit to wash hands before meals.,飯前洗手是個好習慣。
nice,宜人的,Personal,,3,nice,We had a very nice trip to the zoo yesterday.,我們昨天去動物園玩得很愉快。
lazy,懶惰的,Personal,,3,lazy,The lazy dog did not want to go out for a walk.,這隻懶惰的狗不想出去散步。
cute,可愛的,Personal,,3,cute,Look at that cute rabbit eating a fresh carrot.,看那隻正在吃新鮮胡蘿蔔的可愛兔子。
smart,聰明的,Personal,,3,smart,The smart dolphin can do tricks with a ball.,這隻聰明的海豚會用球做特技。
old,老的,Personal,,3,old,Our school has a very old eucalypt tree.,我們學校有一棵非常古老的尤加利樹。
tall,高的,Personal,,3,tall,He is very tall and plays basketball very well.,他很高，而且籃球打得很好。
short,短的,Sizes & measurements,,3,short,She wrote a short story about her friendly pet.,她寫了一個關於她友好寵物的短篇故事。
thin,瘦的,Personal,,3,thin,"The cat looks thin, so we should feed it.",這隻貓看起來很瘦，我們應該餵牠。
heavy,重的,Personal,,3,heavy,The heavy box is full of English textbooks.,這個重箱子裝滿了英文教科書。
pretty,漂亮的,Personal,,3,pret/ty,She bought a pretty pink dress for the party.,她為派對買了一件漂亮的粉紅色洋裝。
angry,生氣的,Personal,,3,an/gry,My mom was angry because I broke the window.,我媽媽很生氣，因為我打破了窗戶。
mad,氣憤地,Personal,,3,mad,Dad got mad when he saw the dirty kitchen floor.,爸爸看到髒亂的廚房地板時變得很生氣。
excited,覺得興奮的,Personal,,3,ex/cit/ed,The students are excited about the school trip.,學生們對學校旅行感到很興奮。
bored,覺得無聊的,Personal,,3,bored,I felt bored because the movie was too long.,我感到很無聊，因為電影太長了。
there,那裡,Place,,3,there,Look! There is a beautiful rainbow in the sky.,看！天空有一道美麗的彩虹。
left,左邊(的),Place,,3,left,Please turn left at the next street corner.,請在下一個路口往左轉。
right,右邊(的),Place,,3,right,He wrote down the answer with his right hand.,他用右手寫下答案。
here,這裡,Place,,3,here,Come here and look at this funny picture.,過來這裡看這張有趣的圖片。
bank,銀行,Place,,3,bank,My mother works as a teller in a bank.,我媽媽在銀行擔任櫃檯人員。
park,公園,Place,,3,park,We love to play soccer in the park on weekends.,我們週末喜歡在公園踢足球。
zoo,動物園,Place,,3,zoo,We saw many wild animals at the Taipei zoo.,我們在台北動物園看到了許多野生動物。
shop,商店,Place,,3,shop,She bought some cute pencil cases in the shop.,她在商店裡買了一些可愛的筆袋。
store,商店,Place,,3,store,The toy store is closed on Monday morning.,這家玩具店在星期一早上休息。
bookstore,書店,Place,,3,book/store,I bought this English dictionary from the bookstore.,我從書店買了這本英文字典。
market,市場,Place,,3,mar/ket,Grandma bought fresh vegetables at the morning market.,阿嬤在早市買了新鮮蔬菜。
office,辦公室,Place,,3,of/fice,The principal is working in his school office.,校長正在他的學校辦公室裡工作。
post office,郵局,Places,,3,post/of/fice,He went to the post office to mail a letter.,他去郵局寄信。
restroom,廁所,Places,,3,re/stroom,"Excuse me, where is the restroom in this library?",不好意思，這家圖書館的廁所在哪裡？
restaurant,餐廳,Places,,3,restau/rant,We had a delicious dinner at the Italian restaurant.,我們在義大利餐廳吃了一頓美味的晚餐。
museum,博物館,Places,,3,mu/se/um,We learned about dinosaurs at the science museum.,我們在自然科學博物館學習了關於恐龍的知識。
hospital,醫院,Places,,3,hos/pi/tal,The sick boy had to stay in the hospital.,生病的小男孩必須住在醫院裡。
fire station,消防站,Places,,3,fire/sta/tion,A red fire engine left the fire station quickly.,一輛紅色的消防車迅速離開了消防局。
movie theater,電影院,Places,,3,movie/the/ater,We watched a fun animation in the movie theater.,我們在電影院看了一部有趣的動畫片。
police station,警察局,Places,,3,po/lice/sta/tion,The police station is next to the post office.,警察局在郵局旁邊。
department store,百貨公司,Places,,3,de/part/ment/store,Mom bought a new bag at the department store.,媽媽在百貨公司買了一個新皮包。
Taiwan,臺灣,Places,,3,Tai/wan,Taiwan is a beautiful island with friendly people.,台灣是一個有著友善人民的美麗島嶼。
the UK,英國,Places,,3,the/UK,London is the capital city of the UK.,倫敦是英國的首都。
the USA,美國,Places,,3,the/USA,My uncle lives in California in the USA.,我叔叔住在美國的加州。
Germany,德國,Place,,3,Ger/many,Germany is famous for its fast cars and forests.,德國以跑車和森林聞名。
France,法國,Place,,3,France,They plan to visit Paris in France next summer.,他們計劃明年夏天訪問法國的巴黎。
Japan,日本,Place,,3,Japan,We ate delicious sushi during our trip to Japan.,我們在日本旅行期間吃了美味的壽司。
Korea,韓國、南韓,Place,,3,Ko/rea,K-pop music is very popular in Korea and Taiwan.,韓國流行音樂在韓國和台灣非常流行。
Philippines,菲律賓,Place,,3,Philip/pines,The Philippines consists of many beautiful tropical islands.,菲律賓由許多美麗的熱帶島嶼組成。
Vietnam,越南,Place,,3,Viet/nam,Vietnamese noodle soup tastes very fresh and delicious.,越南河粉湯喝起來非常清鮮美味。
India,印度,Place,,3,In/dia,Taj Mahal is a very famous monument in India.,泰姬瑪哈陵是印度非常著名的古蹟。
Singapore,新加坡,Place,,3,Sin/ga/pore,Singapore is a clean and green city-state.,新加坡是一個乾淨且綠意盎然的城市國家。
Uganda,烏干達,Place,,3,Ugan/da,Uganda is a beautiful country in East Africa.,烏達蘭是東非一個美麗的國家。
Thailand,泰國,Place,,3,Thai/land,We saw many elephants during our visit to Thailand.,我們在泰國旅行期間看到了許多大象。
Canada,加拿大,Place,,3,Cana/da,Niagara Falls is located on the border of Canada.,尼加拉瀑布位於加拿大的邊界。
Italy,義大利,Place,,3,Italy,Pizza and spaghetti are famous foods from Italy.,披薩和義大利麵是來自義大利的著名食物。
school,學校,School,,3,school,We go to school from Monday to Friday.,我們星期一到星期五去上學。
class,課,School,,3,class,Please be quiet because the English class has started.,請安靜，因為英文課已經開始了。
PE,體育課,School,,3,PE,We played basketball in our PE class today.,我們今天在體育課打了籃球。
art,美術、藝術,School,,3,art,I like art class because I can draw animals.,我喜歡美術課，因為我可以畫動物。
draw,畫,Actions,,3,draw,She loves to draw pictures of flowers and trees.,她熱愛畫花草樹木的圖片。
math,數學,School,,3,math,We learned how to add numbers in math class.,我們在數學課學習了如何做數字加法。
music,音樂,School,,3,mu/sic,We learned to play the recorder in music class.,我們在音樂課學習了吹直笛。
English,英文,School,,3,Eng/lish,We practice speaking English with our teacher every day.,我們每天和老師練習說英文。
Chinese,中文,School,,3,Chi/nese,Chinese characters have a very long and interesting history.,中文字有著非常悠久且有趣的歷史。
ask,問,Actions,,3,ask,Do not be afraid to ask questions in class.,在課堂上不要害怕發問。
answer,回答,Actions,,3,an/swer,Who knows the correct answer to this question?,誰知道這個問題的正確答案？
say,說,Actions,,3,say,What did the teacher say about the homework?,老師對作業說了些什麼？
speak,說說,Actions,,3,speak,Our English teacher can speak three different languages.,我們的英文老師會說三種不同的語言。
talk,說話、談話,Actions,,3,talk,Please do not talk when the teacher is speaking.,老師說話時請不要交談。
spell,拚寫,Actions,,3,spell,Can you spell the word 'elephant' for me?,你能幫我拚寫 'elephant' 這個字嗎？
listen,聽,Actions,,3,lis/ten,Listen carefully to the recording and write down answers.,仔細聽錄音並寫下答案。
study,學習,School,,3,study,We need to study hard for the English test.,我們需要為英文考試努力學習。
test,考試,School,,3,test,We have a spelling test every Friday morning.,我們每個星期五早上都有拼字測驗。
question,問題,School,,3,ques/tion,"If you have any question, please raise your hand.",如果您有任何問題，請舉手。
glue,膠水,School,,3,glue,Use the glue to stick the picture onto paper.,用膠水將圖片貼在紙上。
pen,筆,School,,3,pen,Can I borrow a blue pen to write notes?,我可以借一支藍色原子筆來寫筆記嗎？
marker,麥克筆,School,,3,mark/er,The teacher wrote the sentences with a black marker.,老師用黑色麥克筆寫下了句子。
eraser,橡皮擦,School,,3,eras/er,I used my eraser to rub out the mistake.,我用我的橡皮擦擦掉了錯誤。
paper,紙張,School,,3,pa/per,He drew a beautiful map on a sheet of paper.,他在一張紙上畫了一幅美麗的地圖。
ruler,尺,School,,3,ruler,Use a ruler to draw a straight line here.,在這裡用直尺畫一條直線。
friend,朋友,School,,3,friend,We should be friendly to our classmates and friends.,我們應該對我們的同學和朋友友善。
story,故事,School,,3,sto/ry,My grandfather told us a funny story last night.,我爺爺昨晚跟我們講了一個有趣的故事。
picture,圖片、照片,School,,3,pic/ture,She hung a beautiful picture of a forest here.,她在這裡掛了一幅美麗的森林圖片。
blackboard,黑板,School,,3,black/board,Please look at the blackboard and read the sentences.,請看黑板並朗讀句子。
classroom,教室,School,,3,class/room,The students are cleaning their classroom after school today.,學生們今天放學後正在打掃他們的教室。
vacation,假期,School,,3,va/ca/tion,We plan to go to the beach during summer vacation.,我們計劃暑假期間去海灘。
holiday,節日、假日,School,,3,hol/i/day,Christmas is my favorite holiday of the whole year.,聖誕節是我整年中最適愛的節日。
big,大的,Sizes & measurements,,3,big,The elephant is a very big animal with long nose.,大象是有著長鼻子的龐大動物。
small,小的,Sizes & measurements,,3,small,A small ant is carrying a bread crumb slowly.,一隻小螞蟻正在緩慢地搬運麵包屑。
long,長的,Sizes & measurements,,3,long,Giraffes have a very long neck to eat leaves.,長頸鹿有很長的脖子以吃樹葉。
light,輕的,Sizes & measurements,,3,light,"The feather is very light, but the rock is heavy.",羽毛很輕，但石頭很重。
high,高的,Sizes & measurements,,3,high,The eagle is flying high above the green mountains.,老鷹正飛在高高的青山之上。
pair,一雙、一對,Sizes & measurements,,3,pair,He bought a new pair of sports shoes yesterday.,他昨天買了一雙新的運動鞋。
play,玩,Sports,,3,play,Children love to play games on the school playground.,孩子們喜歡在學校操場上玩遊戲。
sing,唱,Sports,,3,sing,The students sing songs happily in the music class.,學生們在音樂課上快樂地唱歌。
dance,跳舞,Sports,,3,dance,She likes to dance to the lively pop music.,她喜歡隨著輕快的流行音樂跳舞。
paint,用顏料畫、油漆刷,Sports,,3,paint,He wants to paint the bird cage yellow tomorrow.,他明天想把鳥籠漆成黃色。
hike,健行,Sports,,3,hike,We love to hike in the mountains on sunny weekends.,我們喜歡在晴朗的週末去山上健行。
swim,游泳,Sports,,3,swim,Polar bears can swim very fast in the cold ocean.,北極熊可以在寒冷的海洋中游得很快。
climb,爬、攀爬,Sports,,3,climb,The monkeys like to climb trees and jump around.,猴子們喜歡爬樹並跳來跳去。
ball,球,Sports,,3,ball,Throw the ball to me and I will catch it.,把球丟給我，我會接住它。
baseball,棒球,Sports,,3,base/ball,Baseball is one of the most popular sports in Taiwan.,棒球是台灣最受歡迎的運動之一。
basketball,籃球,Sports,,3,bas/ket/ball,They practice playing basketball after school every Tuesday afternoon.,他們每個星期二下午放學後練習打籃球。
football,足球(英式),Sports,,3,foot/ball,"In the UK, people call soccer football.",在英國，人們把 soccer 叫做 football。
soccer,足球(美式),Sports,,3,soc/cer,We have a friendly soccer game with another school.,我們和另一所學校有一場友誼足球賽。
sport,運動,Sports,,3,sport,Running and swimming are very good sports for health.,跑步和游泳是對健康非常好得運動。
toy,玩具,Other nouns,,9,toy,He shared his new toy car with his little brother.,他和弟弟分享了他的新玩具車。
doll,玩偶,Sports,,3,doll,My little sister put her cute doll to bed.,我妹妹把她可愛的玩偶放上床睡覺。
yo-yo,溜溜球,Sports,,3,yo/yo,He showed us a cool trick with his red yo-yo.,他用他的紅溜溜球向我們展示了一個炫酷的特技。
win,贏,Sports,,3,win,Our school team hopes to win the soccer game.,我們校隊希望能贏得這場足球賽。
trip,旅行(短程的),Sports,,3,trip,We are planning a short day trip to Yilan.,我們正在計劃去宜蘭的短途一日遊。
card,卡片,Sports,,3,card,She sent a handmade birthday card to her teacher.,她寄了一張手工製作的生日卡片給老師。
drum,鼓,Sports,,3,drum,He plays the drum loudly in the school band.,他在學校樂隊裡大聲地敲鼓。
game,遊戲,Sports,,3,game,Let us play an interesting board game together tonight.,我們今天晚上一起玩一個有趣的桌遊吧。
kite,風箏,Sports,,3,kite,A strong wind makes the colorful kite fly high.,強風讓色彩繽紛的風箏飛得很高。
song,歌曲,Sports,,3,song,Let us sing a traditional English song together now.,我們現在一起唱一首傳統的英文歌曲吧。
movie,電影,Sports,,3,movie,We watched a funny animation movie last night.,我們昨晚看了一部有趣的動畫電影。
piano,鋼琴,Sports,,3,pi/ano,She practices playing the piano for one hour daily.,她每天練習彈鋼琴一個小時。
cup,杯子,Tableware,,3,cup,He drank a cup of warm water this morning.,他今天早上喝了一杯溫開水。
dish,碟子、盤子,Tableware,,3,dish,Please help me wash the dirty dishes after dinner.,晚餐後請幫我清洗髒盤子。
glass,玻璃杯,Tableware,,3,glass,A glass of fresh orange juice tastes very good.,一杯新鮮的柳橙汁味道非常好。
fork,叉子,Tableware,,3,fork,We use a fork and spoon to eat spaghetti.,我們使用叉子和湯匙來吃義大利麵。
spoon,湯匙,Tableware,,3,spoon,Give me a small spoon to eat the pudding.,給我一個小湯匙來吃布丁。
knife,刀子,Tableware,,3,knife,Be careful! Do not play with the sharp knife.,小心！不要玩鋒利的刀子。
chopsticks,筷子,Tableware,,3,chop/sticks,"In Taiwan, we use chopsticks to eat rice and noodles.",在台灣，我們使用筷子來吃米飯和麵條。
mug,馬克杯,Tableware,,3,mug,Grandpa made a mug of hot coffee for himself.,爺爺給自己泡了一馬克杯的熱咖啡。
evening,傍晚,Time,,3,evening,We usually do our homework in the early evening.,我們通常在傍晚做功課。
night,晚上,Time,,3,night,The stars shine brightly in the dark sky at night.,夜裡星星在黑暗的天空中明亮地照耀著。
now,現在,Time,,3,now,Please come into the classroom and sit down now.,現在請進教室坐好。
tomorrow,明天,Time,,3,to/mor/row,"Tomorrow is Sunday, so we do not go to school.",明天是星期天，所以我們不上學。
day,天,Time,,3,day,We went to the beach on a warm sunny day.,我們在一個溫暖的晴天去了海灘。
yesterday,昨天,Time,,3,yes/ter/day,I finished reading the whole book yesterday afternoon.,我昨天下午讀完了整本書。
early,早到(的),Time,,3,ear/ly,The diligent student always arrives at school very early.,勤奮的學生總是早早就到學校。
late,晚到(的),Time,,3,late,Hurry up! We are going to be late for class.,快一點！我們上課要遲到了。
time,時間,Time,,3,time,What time does the school library open on weekdays?,學校圖書館在工作日幾點開放？
watch,手錶,Time,,3,watch,My dad bought me a nice watch for my birthday.,我爸爸買了一隻漂亮的手錶送我當生日禮物。
year,年,Time,,3,year,We are looking forward to a wonderful new year.,我們正期待著美好的一年。
clock,時鐘,Time,,3,clock,The clock on the wall shows it is eight o'clock.,牆上的時鐘顯示現在是八點鐘。
o'clock,...點鐘,Time,,3,o'/clock,The school sports day starts at nine o'clock sharp.,學校運動會在九點整準時開始。
spring,春天,Time,,3,spring,Many beautiful flowers bloom in the warm spring.,許多美麗的花朵在溫暖的春天盛開。
summer,夏天,Time,,3,sum/mer,We love to eat cold watermelon in the hot summer.,我們在炎熱的夏天熱愛吃冰西瓜。
fall,秋天,Time,,3,fall,Leaves turn yellow and fall from trees in autumn.,秋天時葉子變黃並從樹上落下。
winter,冬天,Time,,3,win/ter,It is very cold and sometimes snows in winter.,冬天非常冷，有時候還會下雪。
season,季節,Time,,3,sea/son,My favorite season of the year is cool autumn.,我一年中最喜歡的季節是涼爽的秋天。
Monday,星期一,Time,,3,Mon/day,Monday is the first school day of the week.,星期一是這一週的第一個上學日。
Tuesday,星期二,Time,,3,Tues/day,We have a music class every Tuesday afternoon.,我們每個星期二下午有一節音樂課。
Wednesday,星期三,Time,,3,Wednes/day,Wednesday afternoon is our sports and club time.,星期三下午是我們的運動和社團時間。
Thursday,星期四,Time,,3,Thurs/day,We will visit the science museum next Thursday morning.,我們下星期四早上將造訪自然科學博物館。
Friday,星期五,Time,,3,Fri/day,Friday is the last school day before the weekend.,星期五是週末前的最後一個上學日。
Saturday,星期六,Time,,3,Sat/ur/day,I like to go hiking with my family on Saturday.,我星期六喜歡和家人一起去健行。
Sunday,星期日,Time,,3,Sun/day,"Sunday is a holiday, and we can rest at home.",星期天是假日，我們可以留在家裡休息。
week,星期,Time,,3,week,There are seven days in a single week.,單單一週內就有七天。
January,一月,Time,,3,Jan/u/ary,January is the very first month of the year.,一月是一年當中的第一個月份。
February,二月,Time,,3,Feb/ru/ary,February usually has twenty-eight days in a year.,二月份在一年中通常只有二十八天。
March,三月,Time,,3,March,The weather starts to turn warm in March here.,這裡的天氣在三月份開始轉暖。
April,四月,Time,,3,April,April showers bring beautiful flowers in spring.,四月的雨水在春天帶來了美麗的花朵。
May,五月,Time,,3,May,Mother's Day is celebrated on the second Sunday of May.,母親節在五月的第二個星期日慶祝。
June,六月,Time,,3,June,Summer vacation usually begins in the late June.,暑假通常在六月下旬開始。
July,七月,Time,,3,Ju/ly,July is a very hot month of the summer holiday.,七月是暑假中一個非常炎熱的月份。
August,八月,Time,,3,Au/gust,Father's Day in Taiwan is on the eighth of August.,台灣的父親節是在八月八日。
September,九月,Time,,3,Sep/tem/ber,Students go back to school in September in Taiwan.,台灣的學生在九月份返校上課。
October,十月,Time,,3,Oc/to/ber,Halloween is celebrated on the last day of October.,萬聖節在十月的最後一天慶祝。
November,十一月,Time,,3,No/vem/ber,The weather turns cool and pleasant in November.,天氣在十一月份變得涼爽宜人。
December,十二月,Time,,3,De/cem/ber,Christmas is celebrated on the twenty-fifth of December.,聖誕節在十二月二十五日慶祝。
ride,騎(機車、腳踏車),Transportation,,3,ride,I want to learn how to ride a bike.,我想學習如何騎腳踏車。
fly,飛、飛行,Transportation,,3,fly,Many birds fly to warm places in winter.,許多鳥在冬天飛往溫暖的地方。
drive,開車,Transportation,,3,drive,My mother drives a blue car to work daily.,我媽媽每天開著藍色車子去上班。
turn,轉彎,Transportation,,3,turn,Please turn right when you see the post office.,當你看到郵局時請右轉。
car,車子,Transportation,,3,car,My father parked the red car near our house.,我爸爸把紅色的車子停在我們家附近。
bus,公車,Transportation,,3,bus,We take the school bus to school every morning.,我們每天早上搭校車去上學。
bus stop,公車站,Transportation,,3,bus/stop,The students are waiting patiently at the bus stop.,學生們正在公車站耐心等待。
taxi,計程車,Transportation,,3,taxi,We took a taxi because we were very late.,我們搭了計程車，因為我們遲到了。
airport,機場,Transportation,,3,air/port,The airplane landed safely at the Taoyuan airport.,飛機安全降落在桃園機場。
ship,船(大),Transportation,,3,ship,A large cargo ship is sailing across the ocean.,一艘大型貨輪正在橫渡大洋。
boat,船,Transportation,,3,boat,We rode a small wooden boat on the lake.,我們在湖上划了一艘木製小船。
station,車站,Transportation,,3,sta/tion,The train arrived at the station on time.,火車準時抵達了車站。
motorcycle,摩托車,Transportation,,3,mo/tor/cy/cle,Riding a motorcycle in Taiwan is very common.,在台灣騎機車是非常普遍的。
MRT,捷運,Transportation,,3,MRT,The Taipei MRT is very clean and convenient.,台北捷運非常乾淨且方便。
scooter,輕型機車,Transportation,,3,scoot/er,She rides a light scooter to the local market.,她騎著輕型機車去當地的市場。
fast,快的,Adjectives,,3,fast,Cheetahs can run very fast in the wild grass.,獵豹可以在野生草叢中跑得很快。
slow,慢的,Adjectives,,3,slow,The slow turtle finally finished the long race.,慢吞吞的烏龜終於完成了這場長途比賽。
truck,卡車,Transportation,,3,truck,A large blue truck is carrying heavy boxes.,一輛藍色大卡車正載運著重重的箱子。
weather,天氣,Weather,,3,weath/er,What is the weather like in New York today?,今天紐約的天氣怎麼樣？
sky,天空,Weather,,3,sky,The sky is clear and full of bright stars.,天空非常清朗，而且佈滿了明亮的星星。
sun,太陽,Weather,,3,sun,The sun is shining brightly in the sky today.,今天太陽在天空中明亮地照耀著。
star,星星,Weather,,3,star,The little star is twinkling in the dark sky.,小星星在漆黑的天空中閃爍。
wind,風,Weather,,3,wind,The strong wind blew away my favorite paper hat.,強風吹走了我最愛的紙帽子。
windy,風大的,Weather,,3,windy,"It is very windy today, so let us fly kites.",今天風很大，我們去放風箏吧。
typhoon,颱風,Weather,,3,ty/phoon,Schools were closed yesterday because of the strong typhoon.,學校昨天因為強烈颱風停課。
rain,"雨水,下雨",Weather,,3,rain,I love the fresh smell of grass after rain.,我喜歡雨後草地清新的味道。
rainbow,彩虹,Weather,,3,rain/bow,A colorful rainbow appeared in the sky after rain.,雨後天空出現了一道色彩繽紛的彩虹。
snow,"雪,下雪",Weather,,3,snow,The white snow covered the mountains like a blanket.,白雪像毯子一樣覆蓋了山脈。
snowy,下雪的、多雪的,Weather,,3,snowy,We wore warm gloves on that cold snowy day.,我們在那個寒冷的下雪天戴了溫暖的手套。
wet,潮濕的,Weather,,3,wet,My shoes got completely wet in the heavy rain.,我的鞋子在大雨中完全濕透了。
cloudy,多雲的,Weather,,3,cloudy,"It is cloudy today, so the sun is hidden.",今天是陰天，所以太陽躲起來了。
hot,熱的,Weather,,3,hot,Drink plenty of water on hot summer days.,在炎熱的夏天要喝充足的水。
warm,溫暖的,Weather,,3,warm,The spring weather is very warm and pleasant here.,這裡春天的天氣非常溫暖且宜人。
cool,涼爽的,Weather,,3,cool,The autumn breeze is very cool and refreshing.,秋天的微風非常涼爽而且提神。
a,一個,Articles,,3,a,I saw a small squirrel eating a nut yesterday.,我昨天看到一隻小松鼠在吃堅果。
an,一個,Articles,,3,an,She brought an orange and an apple for lunch.,她帶了一個橘子和一個蘋果當午餐。
every,每一個,Articles,,3,ev/ery,He practices speaking English every single day.,他每一天都練習說英文。
the,這,Articles,,3,the,The dog in the garden belongs to our neighbor.,花園裡的那隻狗是我們鄰居的。
this,這個,Articles,,3,this,This storybook is very interesting and has nice pictures.,這本故事書非常有趣，而且有漂亮的圖片。
that,那個,Articles,,3,that,That tall tree in the park is a banyan.,公園裡那棵高大的樹是一棵榕樹。
those,那些,Articles,,3,those,Those sweet grapes in the kitchen are for you.,廚房裡的那些甜葡萄是給你的。
these,這些,Articles,,3,these,These colorful markers on the desk are mine.,書桌上的這些彩色麥克筆是我的。
I,我,Pronouns,,3,I,I want to learn how to play the piano.,我想學習如何彈鋼琴。
he,他,Pronouns,,3,he,He is the tallest boy in our school team.,他是我們校隊裡最高挑的男孩。
she,她,Pronouns,,3,she,She wrote a beautiful poem for her kind mother.,她為她親切的母親寫了一首美麗的詩。
me,我(受詞),Pronouns,,3,me,Please give me the English book on the table.,請把桌上的英文書給我。
him,他(受詞),Pronouns,,3,him,I sent him an email to invite him today.,我今天給他發了一封電子郵件邀請他。
her,她(受詞),Pronouns,,3,her,We gave her a birthday gift to surprise her.,我們給了她一份生日禮物以給她驚喜。
you,你;你們,Pronouns,,3,you,You should wash your hands before eating dinner.,你在吃晚餐前應該要洗手。
we,我們,Pronouns,,3,we,We walked to the park and played games together.,我們走路去公園並一起玩遊戲。
us,我們(受詞),Pronouns,,3,us,The teacher read us an interesting story in class.,老師在課堂上給我們讀了一個有趣的故事。
it,它、牠,Pronouns,,3,it,"The cat is sleeping, so please do not wake it.",貓咪正在睡覺，所以請不要喚醒牠。
they,他們,Pronouns,,3,they,They went to the library to study together yesterday.,他們昨天去圖書館一起學習。
them,他們(受詞),Pronouns,,3,them,We invited them to join our English club tomorrow.,我們邀請他們明天加入我們的英文社團。
nothing,什麼都沒有,Pronouns,,3,noth/ing,There is nothing in the box; it is empty.,箱子裡什麼都沒有，它是空的。
be,是,Be & Auxiliaries,,3,be,Please be quiet when the teacher is speaking.,老師說話時請保持安靜。
do,助動詞,Be & Auxiliaries,,3,do,What do you want to do after class today?,你今天下課後想要做什麼？
can,可以,Be & Auxiliaries,,3,can,I can play the recorder very well now.,我現在直笛可以吹得非常好了。
will,將會,Be & Auxiliaries,,3,will,I will go to the zoo with my family.,我將會和我的家人一起去動物園。
and,和,Conjunctions,,3,and,I bought a blue pen and a red pencil.,我買了一支藍色筆和一支紅色鉛筆。
but,但是,Conjunctions,,3,but,He ran fast but still missed the school bus.,他跑得很快，但還是錯過了校車。
because,因為,Conjunctions,,3,be/cause,We stayed home because the weather was very rainy.,我們待在家裡，因為天氣下大雨。
hi,嗨,Interjections,,3,hi,"Hi, Tim! How are you doing today?",嗨，提姆！你今天好嗎？
hello,哈囉,Interjections,,3,hel/lo,Say hello to your grandparents when you see them.,看到爺爺奶奶時要跟他們問好。
please,請,Interjections,,3,please,Please pass me the salt on the dining table.,請把餐桌上的鹽遞給我。
excuse me,不好意思、對不起,Other,,3,ex/cuse/me,"Excuse me, where is the nearest MRT station?",不好意思，請問最近的捷運站在哪裡？
at,在(某處),Prepositions,,3,at,We arrived at the zoo at ten o'clock.,我們在十點鐘抵達了動物園。
in,在...裡面,Prepositions,,3,in,The keys are in the pocket of my coat.,鑰匙在我大衣的口袋裡。
of,...的,Prepositions,,3,of,The color of the school bag is navy blue.,書包的顏色是深藍色。
out,在外地,Prepositions,,3,out,He looked out the window and saw a bird.,他向窗外看去，看到了一隻鳥。
for,給、為了(某人),Prepositions,,3,for,This blue bicycle is a birthday gift for you.,這輛藍色腳踏車是送給你的生日禮物。
near,靠近、接近,Prepositions,,3,near,The convenience store is located near our school.,這家便利商店位於我們學校附近。
by,在..旁邊,Prepositions,,3,by,We went to the beautiful beach by train yesterday.,我們昨天坐火車去美麗的海灘。
on,在....上面,Prepositions,,3,on,The book is on the desk next to computer.,書在電腦旁邊的書桌上。
behind,在...後面,Prepositions,,3,be/hind,The cat is hiding behind the bedroom door.,貓咪正躲在臥室門的後面。
from,從(某處、某時刻、某人),Prepositions,,3,from,"Where are you from, Taiwan or the USA?",你來自哪裡，台灣還是美國？
off,離開、從...去掉,Prepositions,,3,off,Remember to turn off the lights before you leave.,離開前記得關燈。
to,向、朝、對著,Prepositions,,3,to,I walked to the library to borrow some books.,我走路去圖書館借一些書。
up,向上,Prepositions,,3,up,He woke up early and washed his face quickly.,他早早醒來，迅速地洗了臉。
over,在...上方,Prepositions,,3,over,The white bird is flying over the calm lake.,那隻白鳥正飛越平靜的湖面上方。
than,比,Prepositions,,3,than,An elephant is much bigger than a tiger.,大象比老虎大得多。
with,和...一起,Prepositions,,3,with,I went to the library with my classmates yesterday.,我昨天和同學們一起去圖書館。
under,在...下方,Prepositions,,3,un/der,The small puppy is sleeping under the wooden chair.,小狗正坐在木椅底下睡覺。
next to,在...旁邊,Prepositions,,3,next/to,The school bookstore is next to the post office.,學校書店在郵局旁邊。
about,大約、關於,Prepositions,,3,about,She told us an interesting story about a brave monkey.,她跟我們講了一個關於勇敢猴子的有趣故事。
inside,在..裡面,Prepositions,,3,in/side,"It is raining, so please play inside the classroom.",外面在下雨，所以請在教室裡面玩。
outside,在...外面,Prepositions,,3,out/side,The children are playing tag outside the house.,孩子們正在房子外面玩捉人遊戲。
after,在...之後,Prepositions,,3,af/ter,Remember to wash your hands after using the restroom.,上完廁所後記得洗手。
