word_id,word,sense_id,zh_tw,topic,difficulty_level,example_1_id,example_1_en,example_1_zh_tw,example_1_target,example_1_review_status,example_2_id,example_2_en,example_2_zh_tw,example_2_target,example_2_review_status,example_3_en_draft,example_3_zh_tw_draft,example_3_target,semantic_group,part_of_speech,review_decision,review_notes
passport-thirsty,thirsty,passport-thirsty,口渴的/渴的,Adjectives,7,passport-thirsty-ex1,"After playing soccer, the boys were very thirsty.",踢完足球後，男孩子們都非常口渴。,thirsty,legacy_review_required,passport-thirsty-ex2,I always feel thirsty after running on the playground.,在操場跑步後我總是感到口渴。,thirsty,legacy_review_required,,,thirsty,,,,
passport-yummy,yummy,passport-yummy,美味的/好吃的,Adjectives,6,passport-yummy-ex1,The chocolate cake Grandma made was very yummy.,阿嬤做的巧克力蛋糕非常美味。,yummy,legacy_review_required,passport-yummy-ex2,This hot noodle soup is really yummy and warm.,這碗熱麵湯真的很美味又溫暖。,yummy,legacy_review_required,,,yummy,,,,
passport-pumpkin,pumpkin,passport-pumpkin,南瓜,Food,7,passport-pumpkin-ex1,We carved a funny face on the Halloween pumpkin.,我們在萬聖節南瓜上雕刻了一個有趣的臉。,pumpkin,legacy_review_required,passport-pumpkin-ex2,My grandmother makes sweet pumpkin pie for dessert.,我祖母做甜南瓜派當甜點。,pumpkin,legacy_review_required,,,pumpkin,,,,
junior-ice-cream,ice cream,junior-ice-cream,冰淇淋,Food,8,junior-ice-cream-ex1,Children love to eat sweet vanilla ice cream in summer.,孩子們夏天喜歡吃甜香草冰淇淋。,ice cream,legacy_review_required,junior-ice-cream-ex2,Vanilla ice cream is my brother's favorite treat.,香草冰淇淋是我弟弟最喜歡的甜點。,ice cream,legacy_review_required,,,ice cream,,,,
passport-sweet,sweet,passport-sweet,甜的/溫柔的,Adjectives,4,passport-sweet-ex1,These ripe strawberries are very red and sweet.,這些熟透的草莓又紅又甜。,sweet,legacy_review_required,passport-sweet-ex2,She made a sweet card to thank her kind teacher.,她做了一張貼心的卡片來感謝她親切的老師。,sweet,legacy_review_required,,,sweet,,,,
junior-sandwich,sandwich,junior-sandwich,三明治,Food,7,junior-sandwich-ex1,I made a ham and cheese sandwich for my lunch.,我為我的午餐做了一個火腿起司三明治。,sandwich,legacy_review_required,junior-sandwich-ex2,My mother packed a fresh sandwich in my lunchbox.,我媽媽在我的便當盒裡裝了一個新鮮三明治。,sandwich,legacy_review_required,,,sandwich,,,,
passport-chocolate,chocolate,passport-chocolate,巧克力,Food,8,passport-chocolate-ex1,She bought a box of dark chocolate from Belgium.,她買了一盒比利時黑巧克力。,chocolate,legacy_review_required,passport-chocolate-ex2,We share a chocolate bar after playing basketball.,打完籃球後我們一起分享一條巧克力棒。,chocolate,legacy_review_required,,,chocolate,,,,
junior-hamburger,hamburger,junior-hamburger,漢堡,Food,8,junior-hamburger-ex1,He ordered a beef hamburger and some french fries.,他點了一個牛肉漢堡和一些薯條。,hamburger,legacy_review_required,junior-hamburger-ex2,A giant hamburger with fresh lettuce tastes delicious.,夾著新鮮萵苣的巨無霸漢堡嚐起來很美味。,hamburger,legacy_review_required,,,hamburger,,,,
passport-french,French,passport-french,法國的/法語的/法國人,Food,4,passport-french-ex1,We ordered some hot french fries at the fast-food shop.,我們在速食店點了一些熱薯條。,French,legacy_review_required,passport-french-ex2,Our new classmate can speak both English and French.,我們的新同學會說英文和法文。,French,legacy_review_required,,,French,,,,
passport-fries,fries,passport-fries,薯條/炸薯條,Food,4,passport-fries-ex1,The crispy fries taste great with tomato sauce.,脆脆的薯條搭配番茄醬味道很棒。,fries,legacy_review_required,passport-fries-ex2,Hot potato fries are crispy and delicious to share.,熱騰騰的炸薯條香脆美味，適合一起分享。,fries,legacy_review_required,,,fries,,,,
elementary-name,name,elementary-name,名字/姓名,Forms,5,elementary-name-ex1,Please write down your name and phone number here.,請在這裡寫下您的名字和電話號碼。,name,legacy_review_required,elementary-name-ex2,I wrote my name on the first page of the book.,我在書的第一頁寫下了我的名字。,name,legacy_review_required,,,name,,,,
passport-miss-ms,Miss/Ms,passport-miss-ms,小姐/女士,Forms,4,passport-miss-ms-ex1,Ms. Lin is our new school principal this year.,林女士是我們今年新來的學校校長。,Miss/Ms,legacy_review_required,passport-miss-ms-ex2,Miss Lin is very patient when she teaches us math.,林老師教我們數學時非常耐心。,Miss/Ms,legacy_review_required,,,Miss/Ms,,,,
passport-mr,Mr,passport-mr,先生,Forms,1,passport-mr-ex1,Mr. Brown teaches us math and is very funny.,布朗先生教我們數學而且非常幽默。,Mr,legacy_review_required,passport-mr-ex2,Mr. Wang helps us clean the school playground every Friday.,王先生每個星期五都幫我們清理學校操場。,Mr,legacy_review_required,,,Mr,,,,
passport-mrs,Mrs,passport-mrs,太太/女士(已婚),Forms,2,passport-mrs-ex1,Mrs. Green gave us some sweet cookies yesterday.,格林太太昨天給了我們一些甜餅乾。,Mrs,legacy_review_required,passport-mrs-ex2,Mrs. Lee teaches science and always answers our questions.,李太太教自然科學，而且總是回答我們的問題。,Mrs,legacy_review_required,,,Mrs,,,,
junior-sea,sea,junior-sea,海洋/海,Geographical,2,junior-sea-ex1,We saw a big ship sailing on the blue sea.,我們看到一隻大船在藍色的大海上航行。,sea,legacy_review_required,junior-sea-ex2,We can collect pretty shells on the beach near the sea.,我們可以在靠海的沙灘上收集美麗的貝殼。,sea,legacy_review_required,,,sea,,,,
passport-lake,lake,passport-lake,湖泊/湖,Geographical,5,passport-lake-ex1,The water in the lake is clear and calm.,湖水非常清澈而且平靜。,lake,legacy_review_required,passport-lake-ex2,We rode a boat on the lake during our family trip.,在我們的家庭旅行中，我們在湖上划船。,lake,legacy_review_required,,,lake,,,,
junior-beach,beach,junior-beach,海灘/沙灘,Geographical,4,junior-beach-ex1,We built a tall sandcastle on the sandy beach.,我們在沙灘上建了一座高高的沙堡。,beach,legacy_review_required,junior-beach-ex2,We built a big sandcastle on the beach in the afternoon.,下午我們在海灘上建了一座大沙堡。,beach,legacy_review_required,,,beach,,,,
passport-river,river,passport-river,河流/河,Geographical,6,passport-river-ex1,Many fish are swimming in this clean mountain river.,許多魚在這條乾淨的山區河流中游泳。,river,legacy_review_required,passport-river-ex2,The clean river flows slowly through our beautiful town.,乾淨的河流緩緩流過我們美麗的小鎮。,river,legacy_review_required,,,river,,,,
passport-mountain,mountain,passport-mountain,山/山脈,Geographical,7,passport-mountain-ex1,They plan to climb the highest mountain in Taiwan.,他們計劃攀登台灣最高的山。,mountain,legacy_review_required,passport-mountain-ex2,We went hiking on a high mountain last weekend.,上週末我們去了一座高山健行。,mountain,legacy_review_required,,,mountain,,,,
passport-forest,forest,passport-forest,森林,Geographical,6,passport-forest-ex1,There are many tall green trees in the forest.,森林裡有許多高大的綠樹。,forest,legacy_review_required,passport-forest-ex2,Many wild animals make their homes in the deep forest.,許多野生動物在深山森林裡安家。,forest,legacy_review_required,,,forest,,,,
passport-volcano,volcano,passport-volcano,火山,Geographical,8,passport-volcano-ex1,The volcano has not erupted for a thousand years.,這座火山已經一千年沒有噴發了。,volcano,legacy_review_required,passport-volcano-ex2,We saw a picture of an active volcano in our science book.,我們在自然科學書裡看到了一張活火山的照片。,volcano,legacy_review_required,,,volcano,,,,
passport-desert,desert,passport-desert,沙漠/拋棄,Geographical,6,passport-desert-ex1,Camels can walk in the hot desert without water.,駱駝可以在炎熱的沙漠中行走而不需要水。,desert,legacy_review_required,passport-desert-ex2,"It is dry and hot in the desert, but camels can live there.",沙漠裡又乾又熱，但是駱駝可以在那裡生存。,desert,legacy_review_required,,,desert,,,,
passport-island,island,passport-island,島嶼/島,Geographical,6,passport-island-ex1,They spent their summer vacation on a tropical island.,他們在一個熱帶島嶼上度過了暑假。,island,legacy_review_required,passport-island-ex2,Taiwan is a beautiful island surrounded by blue oceans.,台灣是一個被藍色海洋包圍的美麗島嶼。,island,legacy_review_required,,,island,,,,
passport-easter,Easter,passport-easter,復活節,Holidays,6,passport-easter-ex1,Children love to search for colorful Easter eggs.,孩子們喜歡尋找色彩繽紛的復活節彩蛋。,Easter,legacy_review_required,passport-easter-ex2,Children search for colorful eggs during Easter.,孩子們在復活節期間尋找彩色的蛋。,Easter,legacy_review_required,,,Easter,,,,
passport-halloween,Halloween,passport-halloween,萬聖節/萬聖節前夕,Holidays,8,passport-halloween-ex1,We dressed up in scary clothes for Halloween.,我們在萬聖節穿上了可怕的衣服裝扮。,Halloween,legacy_review_required,passport-halloween-ex2,We dressed up as funny ghosts for Halloween last year.,去年萬聖節我們裝扮成搞笑的鬼魂。,Halloween,legacy_review_required,,,Halloween,,,,
passport-christmas,Christmas,passport-christmas,耶誕節/聖誕節,Holidays,7,passport-christmas-ex1,We decorated the big Christmas tree with sparkling lights.,我們用閃閃發光的燈飾裝飾了大聖誕樹。,Christmas,legacy_review_required,passport-christmas-ex2,We decorated the classroom tree for Christmas.,我們裝飾了教室裡的聖誕樹來迎接耶誕節。,Christmas,legacy_review_required,,,Christmas,,,,
passport-moon,Moon,passport-moon,月亮,Weather & nature,3,passport-moon-ex1,The moon shines brightly in the clear night sky.,月亮在晴朗的夜空中明亮地照耀著。,Moon,legacy_review_required,passport-moon-ex2,The moon is round and bright during the Mid-Autumn Festival.,中秋節期間的月亮又圓又亮。,Moon,legacy_review_required,,,Moon,,,,
passport-festival,Festival,passport-festival,節日/慶典,Holidays,8,passport-festival-ex1,The Mid-Autumn Festival is a time for family reunion.,中秋節是家人團圓的時刻。,Festival,legacy_review_required,passport-festival-ex2,The school sports festival is full of exciting games.,學校運動會/體育節充滿了精彩的比賽。,Festival,legacy_review_required,,,Festival,,,,
junior-well,well,junior-well,很好地/健康的/井,Health,3,junior-well-ex1,My grandmother feels well after resting in bed.,我奶奶在床上休息後感覺好多了。,well,legacy_review_required,junior-well-ex2,My brother plays the piano very well because he practices.,我弟弟鋼琴彈得很好，因為他有練習。,well,legacy_review_required,,,well,,,,
junior-sick,sick,junior-sick,生病的/有病的,Health,3,junior-sick-ex1,He did not go to school because he was sick.,他因為生病而沒有去上學。,sick,legacy_review_required,junior-sick-ex2,"If you feel sick, you should rest and drink warm water.",如果你感覺生病了，你應該休息並喝溫開水。,sick,legacy_review_required,,,sick,,,,
elementary-cold,cold,elementary-cold,冷的/感冒/寒冷的,Health,2,elementary-cold-ex1,Drink hot soup when you have a bad cold.,當你感冒嚴重時，多喝熱湯。,cold,legacy_review_required,elementary-cold-ex2,Drinking hot tea makes us feel good when we have a cold.,感冒時喝熱茶會讓我們感覺舒服些。,cold,legacy_review_required,,,cold,,,,
junior-strong,strong,junior-strong,強壯的/強烈的,Health,4,junior-strong-ex1,He is strong enough to lift the heavy box.,他足夠強壯以搬起這個重箱子。,strong,legacy_review_required,junior-strong-ex2,A strong wind can bend the branches of tall trees.,強風會吹彎高樹的枝條。,strong,legacy_review_required,,,strong,,,,
elementary-tired,tired,elementary-tired,疲倦的/累的,Health,6,elementary-tired-ex1,I was tired after riding my bike for two hours.,騎了兩小時腳踏車後，我感到很累。,tired,legacy_review_required,elementary-tired-ex2,I felt tired after running around the playground.,在操場跑了幾圈後我感到累了。,tired,legacy_review_required,,,tired,,,,
passport-toothache,toothache,passport-toothache,牙痛,Health,8,passport-toothache-ex1,The little girl cried because she had a toothache.,小女孩哭了，因為她牙痛。,toothache,legacy_review_required,passport-toothache-ex2,Eating too much sweet candy might cause a toothache.,吃太多甜糖果可能會導致牙痛。,toothache,legacy_review_required,,,toothache,,,,
passport-headache,headache,passport-headache,頭痛,Health,8,passport-headache-ex1,My mother has a bad headache today.,我媽媽今天頭痛得很厲害。,headache,legacy_review_required,passport-headache-ex2,Drinking cold water too quickly might give you a headache.,冰水喝太快可能會讓你頭痛。,headache,legacy_review_required,,,headache,,,,
junior-key,key,junior-key,鑰匙/關鍵,House,1,junior-key-ex1,I cannot find the key to my bedroom door.,我找不到我臥室門的鑰匙。,key,legacy_review_required,junior-key-ex2,He keeps the classroom key in his pencil case.,他把教室的鑰匙收在筆袋裡。,key,legacy_review_required,,,key,,,,
passport-fan,fan,passport-fan,風扇/電風扇/迷,House,1,passport-fan-ex1,"Please turn on the fan, the classroom is hot.",請打開電風扇，教室很熱。,fan,legacy_review_required,passport-fan-ex2,Please turn on the electric fan to cool down the room.,請打開電風扇讓房間涼快一下。,fan,legacy_review_required,,,fan,,,,
elementary-bed,bed,elementary-bed,床,House,1,elementary-bed-ex1,"It is time to go to bed; goodnight, children.",該去睡覺了；晚安，孩子們。,bed,legacy_review_required,elementary-bed-ex2,I jumped onto my soft bed and felt very relaxed.,我跳上柔軟的床，感到非常放鬆。,bed,legacy_review_required,,,bed,,,,
junior-house,house,junior-house,房子/住宅,House,5,junior-house-ex1,They live in a beautiful house with a garden.,他們住在一棟帶花園的美麗房子裡。,house,legacy_review_required,junior-house-ex2,My family lives in a cozy house near the school.,我們家住在學校附近的一間溫馨房子裡。,house,legacy_review_required,,,house,,,,
junior-wall,wall,junior-wall,牆壁/圍牆,House,3,junior-wall-ex1,We hung a big map of Taiwan on the classroom wall.,我們在教室的牆上掛了一幅台灣大地圖。,wall,legacy_review_required,junior-wall-ex2,We hung our class paintings on the classroom wall.,我們把我們班的畫掛在教室牆壁上。,wall,legacy_review_required,,,wall,,,,
passport-mop,mop,passport-mop,拖把/拖地,House,1,passport-mop-ex1,Use the clean mop to clean the kitchen floor.,用乾淨的拖把來清潔廚房地板。,mop,legacy_review_required,passport-mop-ex2,Please use a mop to clean the dirty floor.,請用拖把清理骯髒的地板。,mop,legacy_review_required,,,mop,,,,
junior-door,door,junior-door,門,House,2,junior-door-ex1,Please close the door behind you when you leave.,你離開時請隨手關門。,door,legacy_review_required,junior-door-ex2,Please close the door quietly when you leave.,你離開時請輕輕關上門。,door,legacy_review_required,,,door,,,,
passport-lamp,lamp,passport-lamp,燈/檯燈,House,3,passport-lamp-ex1,He reads a book under the bright desk lamp.,他在明亮的檯燈下看書。,lamp,legacy_review_required,passport-lamp-ex2,I turn on the desk lamp when I read at night.,我晚上讀書時會打開檯燈。,lamp,legacy_review_required,,,lamp,,,,
passport-sweep,sweep,passport-sweep,掃/打掃/掃除,Actions,4,passport-sweep-ex1,Please help me sweep the leaves on the ground.,請幫我掃地上的樹葉。,sweep,legacy_review_required,passport-sweep-ex2,We sweep the classroom floor together after school.,放學後我們一起打掃教室地板。,sweep,legacy_review_required,,,sweep,,,,
junior-wash,wash,junior-wash,清洗/洗,Actions,3,junior-wash-ex1,You should wash your hands before eating dinner.,你在吃晚餐前應該要洗手。,wash,legacy_review_required,junior-wash-ex2,We wash our hands before eating lunch at school.,我們在學校吃午餐前會洗手。,wash,legacy_review_required,,,wash,,,,
elementary-home,home,elementary-home,家/在家,House,5,elementary-home-ex1,I will stay at home and watch TV tonight.,我今天晚上會待在家裡看電視。,home,legacy_review_required,elementary-home-ex2,Going home to eat dinner with family is very warm.,回家和家人一起吃晚餐是非常溫馨的。,home,legacy_review_required,,,home,,,,
junior-table,table,junior-table,桌子/餐桌,House,6,junior-table-ex1,We put the vase of flowers on the wooden table.,我們把花瓶放在木桌上。,table,legacy_review_required,junior-table-ex2,Please help set the dining table before dinner.,請在晚餐前幫忙擺餐桌。,table,legacy_review_required,,,table,,,,
passport-towel,towel,passport-towel,毛巾/手巾,House,6,passport-towel-ex1,Dry your face with a clean and soft towel.,用乾淨又柔軟的毛巾擦乾你的臉。,towel,legacy_review_required,passport-towel-ex2,Dry your wet face with a clean soft towel.,用乾淨柔軟的毛巾擦乾你那濕漉漉的臉。,towel,legacy_review_required,,,towel,,,,
junior-floor,floor,junior-floor,地板/樓層,House,4,junior-floor-ex1,The clean floor is too slippery; walk carefully.,乾淨的地板太滑了，走路請小心。,floor,legacy_review_required,junior-floor-ex2,Keep your books off the floor and on your desk.,把你的書從地板上拿起來放在書桌上。,floor,legacy_review_required,,,floor,,,,
passport-shelf,shelf,passport-shelf,書架/架子,House,4,passport-shelf-ex1,I put my new books back onto the bookshelf.,我把我的新書放回書架上。,shelf,legacy_review_required,passport-shelf-ex2,Please put the storybook back on the wooden shelf.,請把故事書放回木架/書架上。,shelf,legacy_review_required,,,shelf,,,,
passport-garden,garden,passport-garden,花園/園地,House,6,passport-garden-ex1,Grandpa grows sweet red strawberries in his garden.,爺爺在他的花園裡種植甜甜的紅草莓。,garden,legacy_review_required,passport-garden-ex2,The school garden has many colorful flowers.,學校花園裡有許多色彩繽紛的花朵。,garden,legacy_review_required,,,garden,,,,
passport-shower,shower,passport-shower,陣雨/淋浴,House,7,passport-shower-ex1,I take a warm shower after playing basketball.,我打完籃球後會洗個熱水澡。,shower,legacy_review_required,passport-shower-ex2,A quick summer shower cooled down the hot streets.,一場短暫的夏日陣雨讓發熱的街道降溫了。,shower,legacy_review_required,,,shower,,,,
elementary-tv,TV,elementary-tv,電視/電視機,House,11,elementary-tv-ex1,We watched an interesting science show on TV.,我們在電視上觀看了一個有趣的科學節目。,TV,legacy_review_required,elementary-tv-ex2,Our parents allow us to watch TV for thirty minutes.,我父母允許我們看三十分鐘的電視。,TV,legacy_review_required,,,TV,,,,
junior-computer,computer,junior-computer,電腦,House,8,junior-computer-ex1,We use the computer to look up English words.,我們使用電腦來查詢英文單字。,computer,legacy_review_required,junior-computer-ex2,We learn how to type on the computer in class.,我們在課堂上學習如何在電腦上打字。,computer,legacy_review_required,,,computer,,,,
passport-refrigerator,refrigerator,passport-refrigerator,冰箱,House,8,passport-refrigerator-ex1,Keep the fresh milk and cheese in the refrigerator.,把新鮮牛奶和起司保存在冰箱裡。,refrigerator,legacy_review_required,passport-refrigerator-ex2,Put the fresh milk back in the refrigerator to keep it cool.,把鮮牛奶放回冰箱以保持冰涼。,refrigerator,legacy_review_required,,,refrigerator,,,,
junior-clean,clean,junior-clean,乾淨的/清潔/打掃,Adjectives,4,junior-clean-ex1,Please help me clean the dirty windows this afternoon.,今天下午請幫我清潔髒窗戶。,clean,legacy_review_required,junior-clean-ex2,We must clean our study desks before we go home.,我們回家前必須打掃乾淨我們的書桌。,clean,legacy_review_required,,,clean,,,,
elementary-bedroom,bedroom,elementary-bedroom,臥室/臥房,House,7,elementary-bedroom-ex1,My bedroom has a small desk and a warm bed.,我的臥室有一張小書桌和一張溫暖的床。,bedroom,legacy_review_required,elementary-bedroom-ex2,I sleep peacefully in my quiet bedroom.,我在安靜的臥室裡安穩地睡覺。,bedroom,legacy_review_required,,,bedroom,,,,
passport-dining,dining,passport-dining,用餐/進餐,House,6,passport-dining-ex1,The family had dinner together in the dining room.,全家人在餐廳一起吃晚餐。,dining,legacy_review_required,passport-dining-ex2,We gathered in the dining area to share the food.,我們在用餐區聚集分享食物。,dining,legacy_review_required,,,dining,,,,
passport-room,room,passport-room,房間/空間,House,3,passport-room-ex1,Our living room is very bright and cozy.,我們的客廳非常明亮而且溫馨。,room,legacy_review_required,passport-room-ex2,My room has a soft bed and a tidy bookshelf.,我的房間有一張柔軟的床和整齊的書架。,room,legacy_review_required,,,room,,,,
junior-buy,buy,junior-buy,購買/買,Actions,1,junior-buy-ex1,I want to buy a new box of crayons.,我想買一盒新的蠟筆。,buy,legacy_review_required,junior-buy-ex2,I want to buy a new pencil case at the shop.,我想在商店買一個新的筆袋。,buy,legacy_review_required,,,buy,,,,
junior-free,free,junior-free,免費的/自由的/空閒的,Money,2,junior-free-ex1,Children under six can enter the zoo for free.,六歲以下的孩子可以免費進入動物園。,free,legacy_review_required,junior-free-ex2,You are free to join our English game club.,你可以自由加入我們的英文遊戲社團。,free,legacy_review_required,,,free,,,,
junior-money,money,junior-money,錢/貨幣,Money,6,junior-money-ex1,She saved some money to buy a storybook.,她存了一些錢來買一本故事書。,money,legacy_review_required,junior-money-ex2,Saving money helps us buy things we really need later.,存錢可以幫助我們在以後購買真正需要的東西。,money,legacy_review_required,,,money,,,,
junior-dollar,dollar,junior-dollar,元/美元,Money,6,junior-dollar-ex1,A cup of bubble tea costs fifty New Taiwan dollars.,一杯珍珠奶茶要五十元新台幣。,dollar,legacy_review_required,junior-dollar-ex2,A cup of hot tea costs one dollar at the stand.,那攤位的一杯熱茶花費一元。,dollar,legacy_review_required,,,dollar,,,,
junior-new,new,junior-new,新的,Adjectives,2,junior-new-ex1,He has a new blue schoolbag for the school year.,他新學年有一個新的藍色書包。,new,legacy_review_required,junior-new-ex2,Welcome our new classmate with a warm hello.,用溫馨的問候歡迎我們的新同學。,new,legacy_review_required,,,new,,,,
junior-number,number,junior-number,數字/號碼,Numbers,7,junior-number-ex1,Seven is my sister's favorite and lucky number.,七是我妹妹最喜歡且幸運的數字。,number,legacy_review_required,junior-number-ex2,Please write the number of students in the blank.,請在空格內寫上學生的數量。,number,legacy_review_required,,,number,,,,
junior-all,all,junior-all,全部的/所有的/全部/所有,Numbers,1,junior-all-ex1,The students in the classroom were all quiet.,教室裡的學生們全都非常安靜。,all,legacy_review_required,junior-all-ex2,All students did a wonderful job on the test today.,今天所有學生在測驗中都表現得很好。,all,legacy_review_required,,,all,,,,
junior-both,both,junior-both,兩者都/雙方的,Numbers,2,junior-both-ex1,Both of my brothers like to play basketball.,我的兩個哥哥都喜歡打籃球。,both,legacy_review_required,junior-both-ex2,Both of my dogs love to play with the ball.,我的兩隻狗都很喜歡玩這顆球。,both,legacy_review_required,,,both,,,,
junior-much,much,junior-much,許多的/非常地(加不可數),Numbers,3,junior-much-ex1,How much water should we drink every day?,我們每天應該喝多少水？,much,legacy_review_required,junior-much-ex2,Thank you very much for your kind help.,非常感謝你親切的幫助。,much,legacy_review_required,,,much,,,,
junior-many,many,junior-many,許多的/很多的,Numbers,5,junior-many-ex1,How many students are there in your class?,你們班上有多少位學生？,many,legacy_review_required,junior-many-ex2,There are many tall trees in our school playground.,我們學校操場上有許多高樹。,many,legacy_review_required,,,many,,,,
passport-more,more,passport-more,更多的/較多的/更,Numbers,5,passport-more-ex1,I want to read more books during the holiday.,我希望在假期期間讀更多的書。,more,legacy_review_required,passport-more-ex2,Reading more books can help you learn new words.,多讀書可以幫助你學習新單字。,more,legacy_review_required,,,more,,,,
junior-some,some,junior-some,一些的/一些/某些,Numbers,5,junior-some-ex1,My mom prepared some fresh fruits for us.,我媽媽為我們準備了一些新鮮水果。,some,legacy_review_required,junior-some-ex2,"Can you give me some paper to write on, please?",請給我一些紙寫字好嗎？,some,legacy_review_required,,,some,,,,
passport-first,first,passport-first,第一/首先/第一的,Numbers,4,passport-first-ex1,He won the first prize in the English speaking contest.,他在英語演講比賽中贏得了一等獎。,first,legacy_review_required,passport-first-ex2,Safety first is our number one rule when hiking.,健行時，安全第一是我們的首要規則。,first,legacy_review_required,,,first,,,,
passport-second,second,passport-second,第二/秒/第二的,Numbers,7,passport-second-ex1,This is the second time I visit this beautiful museum.,這是我第二次造訪這座美麗的博物館。,second,legacy_review_required,passport-second-ex2,February is the second month of the year.,二月是一年中的第二個月份。,second,legacy_review_required,,,second,,,,
passport-third,third,passport-third,第三/第三的,Numbers,4,passport-third-ex1,Her classroom is on the third floor of the school.,她的教室在學校的三樓。,third,legacy_review_required,passport-third-ex2,He got the third place in the running race.,他在跑步比賽中得到了第三名。,third,legacy_review_required,,,third,,,,
junior-last,last,junior-last,最後的/持續/上一個,Numbers,3,junior-last-ex1,December is the last month of the year.,十二月是一年中的最後一個月。,last,legacy_review_required,junior-last-ex2,This is the last question of our daily challenge.,這是我們每日挑戰的最後一個問題。,last,legacy_review_required,,,last,,,,
passport-job,job,passport-job,工作/職務,Occupations,1,passport-job-ex1,A teacher's job is to help students learn.,老師的工作是幫助學生學習。,job,legacy_review_required,passport-job-ex2,Doing my school job well makes me feel proud.,做好我的學校工作讓我感到自豪。,job,legacy_review_required,,,job,,,,
junior-work,work,junior-work,工作/勞作,Occupations,4,junior-work-ex1,Our parents work hard to take care of the family.,我們的父母努力工作以照顧家庭。,work,legacy_review_required,junior-work-ex2,My parents go to work early in the morning.,我父母早上很早去工作。,work,legacy_review_required,,,work,,,,
passport-worker,worker,passport-worker,工人/工作者,Occupations,7,passport-worker-ex1,The factory workers wear blue uniforms and helmets.,工廠工人穿著藍色制服戴安全帽。,worker,legacy_review_required,passport-worker-ex2,The construction worker wears a orange helmet.,建築工人戴著橘色的安全帽。,worker,legacy_review_required,,,worker,,,,
passport-actor,actor,passport-actor,男演員/演員,Occupations,5,passport-actor-ex1,He wants to be a famous movie actor when he grows up.,他長大後想成為一名著名的電影演員。,actor,legacy_review_required,passport-actor-ex2,The actor played the hero in the movie.,那位男演員在電影裡扮演英雄。,actor,legacy_review_required,,,actor,,,,
passport-actress,actress,passport-actress,女演員,Occupations,7,passport-actress-ex1,The actress wore a beautiful red dress on stage.,這位女演員在舞台上穿著一件美麗的紅洋裝。,actress,legacy_review_required,passport-actress-ex2,She wants to be a famous actress when she grows up.,她長大後想成為一名著名的女演員。,actress,legacy_review_required,,,actress,,,,
junior-singer,singer,junior-singer,歌手/歌唱家,Occupations,7,junior-singer-ex1,The young singer has a very beautiful voice.,這位年輕的歌手擁有非常美麗的嗓音。,singer,legacy_review_required,junior-singer-ex2,The popular singer sang a beautiful song at the concert.,那位受歡迎的歌手在演唱會上唱了一首美麗的歌。,singer,legacy_review_required,,,singer,,,,
junior-driver,driver,junior-driver,司機/駕駛,Occupations,6,junior-driver-ex1,The bus driver is very polite and always smiles.,這位公車司機非常禮貌而且總是微笑。,driver,legacy_review_required,junior-driver-ex2,Our school bus driver is very safe and friendly.,我們校車司機開車非常安全且親切。,driver,legacy_review_required,,,driver,,,,
passport-farmer,farmer,passport-farmer,農夫/農民,Occupations,6,passport-farmer-ex1,The farmer grows fresh vegetables and rice on his farm.,農夫在他的農場上種植新鮮蔬菜和稻米。,farmer,legacy_review_required,passport-farmer-ex2,The farmer grows sweet fruit and fresh vegetables.,農夫種植甜美的水果和新鮮的蔬菜。,farmer,legacy_review_required,,,farmer,,,,
passport-mailman,mailman,passport-mailman,郵差/信差,Occupations,7,passport-mailman-ex1,The mailman delivered a package to our house yesterday.,郵差昨天送了一個包裹到我們家。,mailman,legacy_review_required,passport-mailman-ex2,The mailman delivered a letter to my grandmother today.,郵差今天送了一封信給我祖母。,mailman,legacy_review_required,,,mailman,,,,
passport-waiter,waiter,passport-waiter,男服務生/侍者,Occupations,7,passport-waiter-ex1,The waiter in the restaurant is very helpful.,這家餐廳的服務生非常熱心。,waiter,legacy_review_required,passport-waiter-ex2,The friendly waiter brought us a glass of cold water.,友善的男服務生給我們倒了一杯冰水。,waiter,legacy_review_required,,,waiter,,,,
passport-waitress,waitress,passport-waitress,女服務生/女侍,Occupations,7,passport-waitress-ex1,The waitress served us hot corn soup and bread.,女服務生為我們端來熱玉米濃湯和麵包。,waitress,legacy_review_required,passport-waitress-ex2,The waitress is serving hot soup to the customers.,女服務生正在給顧客端上熱湯。,waitress,legacy_review_required,,,waitress,,,,
passport-soldier,soldier,passport-soldier,軍人/士兵,Occupations,7,passport-soldier-ex1,The brave soldiers protect their country and people.,勇敢的士兵們保護他們的國家和人民。,soldier,legacy_review_required,passport-soldier-ex2,The brave soldier protects our country from danger.,勇敢的軍人保護我們的國家免受危險。,soldier,legacy_review_required,,,soldier,,,,
passport-police-officer,police officer,passport-police-officer,警察/警官,Occupations,8,passport-police-officer-ex1,The police officer helped the lost boy find his mother.,警察幫助迷路的小男孩找到了他的媽媽。,police officer,legacy_review_required,passport-police-officer-ex2,The police officer guided the children across the street.,警察引導孩子們過馬路。,police officer,legacy_review_required,,,police officer,,,,
junior-hair,hair,junior-hair,頭髮/毛髮,Body,3,junior-hair-ex1,Her sister has long black hair and big eyes.,她姐姐有長長的黑髮和大眼睛。,hair,legacy_review_required,junior-hair-ex2,My mother washes her long hair every evening.,我媽媽每天晚上洗她的長髮。,hair,legacy_review_required,,,hair,,,,
